#{"t_start": 1769022441.4318786, "env_id": "None"}
r,l,t
-34.394474,90,0.958159
-37.330883,90,1.012046
-0.524149,90,1.062329
-94.69247,90,1.115732
-95.778719,90,1.166222
-106.761838,90,1.219783
-85.520454,90,1.270396
-22.558443,90,1.323414
-77.564656,90,1.374364
-99.050619,90,1.427803
-67.940751,90,1.478059
-106.856955,90,1.531627
-21.996274,90,1.582309
-19.68865,90,1.635604
-44.297722,90,1.687086
-91.499016,90,1.745388
-107.308501,90,1.795624
-89.319469,90,1.84918
-53.581986,90,1.899597
-93.615939,90,1.953135
-19.71945,90,2.003552
-18.545769,90,2.057295
-98.996219,90,3.622164
-56.235673,90,3.675152
-40.872197,90,3.725579
-91.760731,90,3.779669
-58.178817,90,3.830358
-48.433237,90,3.886666
-14.124687,90,3.937038
-80.060263,90,3.99429
-79.375625,90,4.044941
41.118897,90,4.097518
-95.634148,90,4.147859
-68.310829,90,4.202836
-0.758193,90,4.257718
-94.615141,90,4.314471
-102.317437,90,4.365654
-105.604119,90,4.423225
-50.978425,90,4.473486
-79.92328,90,4.526144
-8.538941,90,4.576338
-26.115721,90,4.632885
-84.620191,90,4.68767
-94.649026,90,4.742312
-31.252252,90,4.7944
-64.773527,90,6.340153
-63.565336,90,6.391157
-70.801264,90,6.443743
-31.795875,90,6.497374
-70.088341,90,6.552658
-10.624468,90,6.603708
-83.814925,90,6.661055
-95.467415,90,6.711988
-30.913464,90,6.764901
-67.860195,90,6.815627
-29.655599,90,8.858897
-59.919811,90,8.913508
-59.741659,90,8.964891
-43.297035,90,9.019017
-25.605248,90,9.070588
-24.62279,90,9.125591
-58.888371,90,9.177573
-71.215571,90,9.231378
-63.662103,90,9.282749
-30.319744,90,9.337142
-25.650262,90,9.388563
-97.598223,90,9.442344
-82.950759,90,9.493816
